Date,Confirmed,Deceased,Recovered,Day
14-Mar-20,1,0,0,1
15-Mar-20,0,0,0,2
16-Mar-20,0,0,1,3
17-Mar-20,0,0,0,4
18-Mar-20,1,0,0,5
19-Mar-20,1,0,0,6
20-Mar-20,0,0,0,7
21-Mar-20,3,0,0,8
22-Mar-20,3,0,0,9
23-Mar-20,3,0,0,10
24-Mar-20,6,1,0,11
25-Mar-20,8,0,0,12
26-Mar-20,3,0,0,13
27-Mar-20,9,0,1,14
28-Mar-20,4,0,0,15
29-Mar-20,8,0,0,16
30-Mar-20,17,0,2,17
31-Mar-20,57,0,2,18
1-Apr-20,110,0,0,19
2-Apr-20,75,0,0,20
3-Apr-20,102,0,0,21
4-Apr-20,74,2,2,22
5-Apr-20,86,2,0,23
6-Apr-20,50,1,5,24
7-Apr-20,69,1,6,25
8-Apr-20,48,1,2,26
9-Apr-20,96,0,6,27
10-Apr-20,77,1,17,28
11-Apr-20,58,1,0,29
12-Apr-20,106,1,6,30
13-Apr-20,98,0,8,31
14-Apr-20,31,1,23,32
15-Apr-20,38,2,37,33
16-Apr-20,25,1,62,34
17-Apr-20,56,0,103,35
18-Apr-20,49,0,82,36
19-Apr-20,105,0,46,37
20-Apr-20,43,2,46,38
21-Apr-20,76,1,178,39
22-Apr-20,33,0,27,40
23-Apr-20,54,2,90,41
24-Apr-20,72,2,114,42
25-Apr-20,66,1,94,43
26-Apr-20,64,1,60,44
27-Apr-20,52,0,54,45
28-Apr-20,121,1,54,46
29-Apr-20,104,2,82,47
30-Apr-20,161,0,48,48
1-May-20,203,1,54,49
2-May-20,231,1,29,50
3-May-20,266,1,38,51
4-May-20,527,1,30,52
5-May-20,508,2,76,53
6-May-20,771,2,31,54
7-May-20,580,2,31,55
8-May-20,600,3,58,56
9-May-20,526,4,219,57
10-May-20,669,3,135,58
11-May-20,798,6,92,59
12-May-20,716,8,83,60
13-May-20,509,3,41,61
14-May-20,447,2,65,62
15-May-20,434,5,359,63
16-May-20,477,4,939,64
17-May-20,639,4,634,65
18-May-20,536,3,234,66
19-May-20,688,3,489,67
20-May-20,743,3,987,68
21-May-20,776,7,400,69
22-May-20,786,4,846,70
23-May-20,759,5,363,71
24-May-20,765,8,833,72
25-May-20,805,7,407,73
26-May-20,646,11,611,74
27-May-20,817,6,567,75
28-May-20,827,12,639,76
29-May-20,874,9,765,77
30-May-20,938,6,687,78
31-May-20,1149,13,757,79
1-Jun-20,1162,11,413,80
2-Jun-20,1091,13,536,81
3-Jun-20,1286,8,610,82
4-Jun-20,1384,15,585,83
5-Jun-20,1438,12,861,84
6-Jun-20,1458,19,633,85
7-Jun-20,1515,18,604,86
8-Jun-20,1562,17,528,87
9-Jun-20,1685,18,798,88
10-Jun-20,1927,19,1008,89
11-Jun-20,1875,23,1372,90
12-Jun-20,1982,18,1342,91
13-Jun-20,1989,30,1362,92
14-Jun-20,1974,38,1138,93
15-Jun-20,1843,44,797,94
16-Jun-20,1515,49,1438,95
