,Date,Daily Confirmed,Total Confirmed,Day
0,2020-07-16,31982.0,1002525.0,169
1,2020-07-17,33690.0,1036215.0,170
2,2020-07-18,34823.0,1071038.0,171
3,2020-07-19,35993.0,1107031.0,172
4,2020-07-20,37203.0,1144234.0,173
5,2020-07-21,38453.0,1182687.0,174
6,2020-07-22,39745.0,1222432.0,175
7,2020-07-23,41081.0,1263513.0,176
8,2020-07-24,42462.0,1305975.0,177
9,2020-07-25,43888.0,1349863.0,178
10,2020-07-26,45364.0,1395227.0,179
11,2020-07-27,46887.0,1442114.0,180
12,2020-07-28,48464.0,1490578.0,181
13,2020-07-29,50092.0,1540670.0,182
14,2020-07-30,51776.0,1592446.0,183
15,2020-07-31,53515.0,1645961.0,184
16,2020-08-01,55314.0,1701275.0,185
17,2020-08-02,57173.0,1758448.0,186
18,2020-08-03,59094.0,1817542.0,187
19,2020-08-04,61080.0,1878622.0,188
20,2020-08-05,63133.0,1941755.0,189
21,2020-08-06,65254.0,2007009.0,190
22,2020-08-07,67448.0,2074457.0,191
23,2020-08-08,69714.0,2144171.0,192
24,2020-08-09,72056.0,2216227.0,193
25,2020-08-10,74479.0,2290706.0,194
26,2020-08-11,76981.0,2367687.0,195
27,2020-08-12,79568.0,2447255.0,196
28,2020-08-13,82242.0,2529497.0,197
29,2020-08-14,85006.0,2614503.0,198
30,2020-08-15,87863.0,2702366.0,199
31,2020-08-16,90815.0,2793181.0,200
32,2020-08-17,93868.0,2887049.0,201
