,Daily Confirmed,Total Confirmed,Date,Day
1,324.0,3793.0,2020-07-04,75.0
2,392.0,4185.0,2020-07-05,76.0
3,432.0,4617.0,2020-07-06,77.0
4,477.0,5094.0,2020-07-07,78.0
5,527.0,5621.0,2020-07-08,79.0
6,580.0,6201.0,2020-07-09,80.0
7,641.0,6842.0,2020-07-10,81.0
8,707.0,7549.0,2020-07-11,82.0
9,780.0,8329.0,2020-07-12,83.0
10,860.0,9189.0,2020-07-13,84.0
11,950.0,10139.0,2020-07-14,85.0
12,1047.0,11186.0,2020-07-15,86.0
13,1156.0,12342.0,2020-07-16,87.0
14,1275.0,13617.0,2020-07-17,88.0
15,1407.0,15024.0,2020-07-18,89.0
